ACCIDENT_NO,NODE_ID,ROAD_ROUTE_1,ROAD_NAME,ROAD_TYPE,ROAD_NAME_INT,ROAD_TYPE_INT,DISTANCE_LOCATION,DIRECTION_LOCATION
T20150013904,45715,9999,HEATHMERE,CRESCENT,MOSSGIEL PARK,DRIVE,,W
T20160021483,49833,5580,SHANNON,AVENUE,LOGAN,STREET,,S
T20200010821,729293,2510,DANDENONG ROAD -QUEENS,WAY,CHAPEL,STREET,8,E
T20180021599,343772,5320,STATION,STREET,DUNCAN,STREET,38,N
T20200017179,663083,9999,VAUCLUSE,AVENUE,GABRIELLE,CRESCENT,43,SW
T20180010070,341014,2999,WEST GATE OUT-CITYLINK OUT,RAMP,WEST GATE OUT-WEST GATE OUT,RAMP,121,W
T20240025370,809448,9999,LEARMONTH CREEK,ROAD,BURGESS,TRACK,212,SE
T20150017341,60545,5396,KILMORE,ROAD,MOUNT ELIZA,ROAD,,W
T20190025315,610470,2000,MONASH,FREEWAY,WELLINGTON-MONASH IN ON,RAMP,253,NW
T20190005415,343505,9999,LONG FOREST,ROAD,MOONAH,DRIVE,170,S
T20170008442,316775,9999,GEORGE,STREET,TARWIN,STREET,101,W
T20160025172,358708,9999,NORTHGATE,DRIVE,SETTLEMENT,ROAD,65,NE
T20210019340,694752,5824,MT ALEXANDER,ROAD,BUCKLAND,STREET,50,NW
T20120018708,254442,2720,MAROONDAH,HIGHWAY,MAROONDAH FWD,HIGHWAY SERVICE ROAD,108,NE
T20220006971,774191,9999,ALLAN,STREET,CHURCH,STREET,58,W
T20230013911,13376,5035,DYNON,ROAD,DYNON-CITYLINK OUT ON,RAMP,,W
T20140022624,41167,9999,CARPENTER,STREET,WELL,STREET,,SW
T20150015577,57543,5077,BOLTON,ROAD,HEATHS,ROAD,,E
T20170005925,47770,2580,SOUTH GIPPSLAND,HIGHWAY,SOUTH GIPPSLAND OUT-SOUTH GIPPSLAND OF,RAMP,48,SE
T20220009756,711170,5898,TOORAK,ROAD,MOONGA,ROAD,3,W
T20120007557,52945,9999,ERRARD,STREET,SEBASTOPOL,STREET,,N
T20200022591,47521,9999,CUMMING,DRIVE,HOGANS,ROAD,,N
T20190000384,341137,5958,DEANS MARSH-LORNE,ROAD,BENWERRIN-MT SABINE,ROAD,92,S
T20180004850,331854,2640,GOULBURN VALLEY,HIGHWAY,ALLENS,ROAD,44,S
T20180019947,338238,9999,WARATAH,STREET,SHIRLOW,AVENUE,,E
T20120027195,241595,9999,DAIRTNUNK,AVENUE,PAWSON,AVENUE,,N
T20120001644,273398,2580,SOUTH GIPPSLAND,HIGHWAY,MONOMEITH,STREET,748,E
T20230014384,776295,9999,HAYES,PARADE,KERNAN,STREET,55,N
T20150023284,42741,5312,BALCOMBE,ROAD,CHARMAN,ROAD,,W
T20120013099,35773,5190,GISBORNE,ROAD,GREY,STREET,,SW
T20140007401,39484,2400,SPRINGVALE,ROAD,CENTRAL,ROAD,,N
T20170019036,45065,9999,DAWSON,STREET,DEVONSHIRE,ROAD,,S
T20240016592,806429,2190,TORQUAY,ROAD,PIONEER,ROAD,74,N
T20120023559,38141,9999,IVANHOE,PARADE,LANTANA,STREET,,N
T20130021911,264940,9999,JOHNSON,DRIVE,HELEN,ROAD,20,NE
T20180020722,338623,5057,HALLAM,ROAD,CORAL,DRIVE,,N
T20180000294,278753,2510,PRINCES,HIGHWAY,LOCHIEL,STREET,,SW
T20240025443,277519,5422,CROYDON,ROAD,LINCOLN,ROAD,91,N
T20240029239,811019,9999,HIGHLANDER,DRIVE,MILLENNIUM,ROAD,48,S
T20150024811,39321,5320,STATION,STREET,RUTLAND,ROAD,,S
T20210024632,711828,2400,SPRINGVALE,ROAD,IVORY ALT,CRESCENT,30,N
T20160026701,311695,5770,KOO WEE RUP,ROAD,PRINCES,FREEWAY,,N
T20170020832,323424,9999,ELDORADO,CRESCENT,SHANDEEN,COURT,22,S
T20140020043,277386,9999,MIDDLETON CREEK,ROAD,RICHARDSONS,ROAD,1475,NE
T20190020300,608114,2500,PRINCES,FREEWAY,WESTERN RING IN-PRINCES OUT,RAMP,431,SW
T20160009052,303129,5993,SEYMOUR,GROVE,BURKE,ROAD,84,SE
T20240014917,35824,2510,PRINCES,HIGHWAY,TRARALGON-MAFFRA,ROAD,,W
T20240016924,780686,9999,MACCLESFIELD,ROAD,GILES,ROAD,519,NE
T20170020196,32858,2050,CHELTENHAM,ROAD,SINCLAIR,ROAD,,W
T20170006241,316357,2510,PRINCES FREEWAY,EAST,HOPE,STREET,1001,W
T20120019067,254359,2510,DANDENONG,ROAD,NORMANBY ALT,ROAD,95,NW
T20230003771,754901,2190,GEELONG ROAD -SURF COAST,HIGHWAY,DARIAN,ROAD,5,N
T20240002554,801442,9999,PROSPER VALLEY,ROAD,TOWNSENDS,ROAD,330,NW
T20150024017,59796,9999,ASPINALL,STREET,PRAIN,STREET,,NE
T20210007605,20879,2580,BROUGHTON STREET -SOUTH GIPPSLAND,HIGHWAY,YARRAM-PORT ALBERT,ROAD,,SW
T20230022938,42968,5169,CHANDLER,ROAD,EDEN,COURT,,S
T20160020184,309117,9999,BURKE,STREET,MOORES,ROAD,75,NW
T20240013085,804066,5493,STATION,ROAD,BALLARAT,ROAD,31,N
T20220029603,45524,5042,DERRIMUT ROAD -HOPKINS,ROAD,BOUNDARY,ROAD,,S
T20130005324,259174,9999,EMPIRE,ROAD,NORRIS,ROAD,163,SW
T20210003113,41528,9999,SNELL,GROVE,WATT,AVENUE,,W
T20160003422,29506,5809,PORTER,STREET,PORTER,STREET,47,E
T20190016055,42147,5311,BAY,ROAD,ADVANTAGE,ROAD,,W
T20160026943,40734,5302,HIGHBURY,ROAD,CROW,STREET,,W
T20240027777,43332,9999,EEL RACE,ROAD,VALETTA,STREET,,W
T20150024502,29506,5809,PORTER,STREET,PORTER,STREET,47,E
T20210023601,707052,9999,CANBERRA,GROVE,SOUTH,ROAD,9,N
T20180015970,336969,5781,MT DANDENONG,ROAD,ST GEORGES,CRESCENT,20,E
T20160019529,308699,9999,SULLIVANS,ROAD,ELIZABETH,DRIVE,262,W
T20220028864,764194,9999,DOURO,STREET,INKERMAN,STREET,99,S
T20250003951,815090,9999,BRIDGE,ROAD,BRIDGE,ROAD,108,W
T20150025659,44510,9999,LAUREL,STREET,WOOD,STREET,,N
T20200023421,304636,9999,AITKEN,BOULEVARD,JAMES MIRAMS,DRIVE,,N
T20200011865,658026,5543,TRARALGON-MAFFRA,ROAD,TOONGABBIE-COWWARR,ROAD,125,E
T20180012326,332140,5899,ELGAR,ROAD,HAMEL,STREET,26,N
T20220015093,782165,5543,TRARALGON-MAFFRA,ROAD,JOHNSON,STREET,16,NW
T20220027751,812551,5446,GRIEVE,PARADE,DOHERTYS,ROAD,14,N
T20140009319,271251,5707,WESTERNPORT,ROAD,WILDES,ROAD,29,W
T20210013940,686404,9999,MURPHY,STREET,LLOYD,STREET,,N
T20150003341,50119,5689,NORTH VALLEY,ROAD,SOUTH VALLEY,ROAD,,NE
T20130025704,267783,9999,YABBA,ROAD,S E C POWERLINE,ROAD,305,NW
T20150020376,357079,9999,BROOKLYN,ROAD,BOTANICA SPRINGS,BOULEVARD,378,W
T20140012285,274857,4851,GRAMPIANS,ROAD,SERRA,ROAD,5827,N
T20240014709,812281,9999,WHANREGARWEN,ROAD,CRYSTAL CREEK,ROAD,346,SW
T20220026849,737971,9999,LEOPOLD,STREET,NORTH,ROAD,7,S
T20210017036,29984,9999,CARPENTER,STREET,HOUSTON,STREET,,S
T20190019665,222043,2600,MORNINGTON PENINSULA,FREEWAY,SPRINGVALE,ROAD,,SE
T20150006577,289595,2500,GEELONG RING,ROAD,GEELONG RING IN-ANGLESEA OF,RAMP,381,W
T20130013649,261922,9999,BOURKE,ROAD,ROSELLA,AVENUE,,E
T20130005082,259118,4890,GREAT OCEAN,ROAD,DESAILLY,STREET,123,NE
T20140005596,269909,5288,BACCHUS MARSH,ROAD,WESTERN OUT-BACCHUS MARSH OF,RAMP,123,SW
T20140000402,266586,2400,SPRINGVALE,ROAD,MORLOC,STREET,26,S
T20180005114,360082,9999,WHITES,ROAD,MURRAY VALLEY,HIGHWAY,22,S
T20170015029,321446,5882,ST KILDA,ROAD,TOORAK,ROAD,66,S
T20230030472,799615,9999,CAIRNLEA,DRIVE,CAIRNLEA ALT,DRIVE,58,S
T20150018330,293719,2510,DANDENONG,ROAD,DANDENONG REV,ROAD SERVICE ROAD,170,E
T20120019531,254514,5521,DON,ROAD,FARNHAM,ROAD,171,NW
T20240012016,221899,2660,NEPEAN,HIGHWAY,NEPEAN,HIGHWAY,,N
T20170012986,53964,9999,TAYLORS,ROAD,KURUNG,DRIVE,,W
T20240031855,812511,5498,MANSFIELD-WHITFIELD,ROAD,KEYSTONE,ROAD,921,SW
T20220000511,768412,9999,SHEPPARTON-VIOLET TOWN,ROAD,PUMMEROY,LANE,247,N
T20210010653,54327,9999,ROCHESTER,ROAD,WINSON GREEN,ROAD,,N
T20120012553,252104,9999,CORNISHTOWN,ROAD,GILLMANS,ROAD,33,NW
T20230012939,783250,9999,BEACONSFIELD,STREET,FIRTH,LANE,11,S
T20160010700,303524,2140,PLENTY,ROAD,MT COOPER,DRIVE,110,NE
T20240033585,813528,9999,POWER,ROAD,PRINCES,HIGHWAY,117,N
T20130022631,69906,9999,HILLSTON,ROAD,NEPEAN FWD,HIGHWAY SERVICE ROAD,,W
T20180022837,228,2240,POWER,STREET,KAVANAGH,STREET,,NW
T20220010552,49609,9999,OLD MELBOURNE,ROAD,MCINTYRE,ROAD,,NE
T20190025130,613861,5778,EMERALD-MONBULK,ROAD,DAVEY,ROAD,24,SW
T20130015821,262257,9999,WHITEMAN,STREET,POWER,STREET,34,W
T20230029715,794087,9999,GOLF LINKS,ROAD,GOLF LINKS ALT,ROAD,36,SE
T20210015053,687444,5588,COTTRELL,STREET,WERRIBEE N,STREET,133,SW
T20120013769,41819,5799,FERNTREE GULLY,ROAD,VIEW MOUNT,ROAD,,W
T20200019411,282528,5979,ROYAL,PARADE,WALKER,STREET,,N
T20130010143,260296,5784,DORSET,ROAD,GIRDWOOD,ROAD,55,S
T20160027811,312244,2090,STUD,ROAD,FERNTREE GULLY,ROAD,31,S
T20230015339,776754,9999,MANOR HOUSE,DRIVE,HERLITZ,DRIVE,53,NW
T20150023917,116651,5733,SYDNEY,ROAD,HOPE,STREET,20,S
T20160027580,314092,9999,WARATAH,AVENUE,ACACIA,COURT,36,S
T20160022027,309330,9999,SACKVILLE,STREET,JOHN,STREET,18,E
T20220009745,718663,5032,COBDEN-STONYFORD,ROAD,FOSTERS,ROAD,41,E
T20160027487,49221,2610,DEAKIN,AVENUE,NINTH,STREET,,SW
T20210019348,40282,5295,BALACLAVA,ROAD,HAWTHORN,ROAD,,W
T20180023326,38070,5860,STATION,STREET,CHRISTMAS,STREET,,S
T20240001030,797303,5790,ELTHAM-YARRA GLEN,ROAD,SCHOLZ,ROAD,434,SE
T20210022899,697248,9999,EXFORD,ROAD,TURF CLUB,BOULEVARD,157,S
T20210026586,700546,4890,GREAT OCEAN,ROAD,HERSCHELL,ROAD,572,NE
T20200006038,758174,5001,PORTARLINGTON,ROAD,CURLEWIS,ROAD,5,W
